adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[14, 12, 28]",1065362,en,The Charlotte in Multilink World Movie,"Charlotte and her group of friends must prevent the villainous Regina from taking over the Multilink Universe. The group must use their wits and skills to outsmart Regina and save the universe from her grasp. Along the way, they may face challenges and obstacles, but with determination and teamwork, they may be able to stop Regina and restore peace to the Multilink Universe.",1.528,/kvid2A2fl3brWvN8LjBwNAVGpjp.jpg,2024-08-31,The Charlotte in Multilink World Movie,False,0,0
False,,[53],1114513,en,Speak No Evil,A family is invited for a weekend at an idyllic country house – a dream holiday that warps into a snarled psychological nightmare.,2.319,,2024-08-04,Speak No Evil,False,0,0
False,,[53],1032823,en,Trap,,1.864,,2024-08-02,Trap,False,0,0
False,,[18],1080041,en,Astray,"When a religious man stumbles upon a young man of no faith, they both begin to witness to each other in unexpected ways.",0.6,/qqEdIUyEdc2U6AEpWZwFLpaKBNK.jpg,2024-07-26,Astray,False,0,0
False,/vzVojqW0zF9QrXVGuj8PwhxWACD.jpg,"[28, 12]",986056,en,Thunderbolts,A world without Avengers doesn't mean there's not a group of superheroes. There is a group and they're called the Thunderbolts.,6.593,/9pKEuYSgEoQQwwngJXgeNOnJjr.jpg,2024-07-24,Thunderbolts,False,0,0
False,,"[28, 12]",718821,en,Twisters,A sequel to the 1996 film about stormchasing scientists studying tornados.,6.384,/uN6jqf1LvrRublkX9ZoRwGJHMMq.jpg,2024-07-17,Twisters,False,0,0
False,,"[16, 878, 12, 28]",698687,en,Transformers One,The story of how a young Optimus Prime and Megatron went from being brothers-in-arms to sworn enemies.,12.222,,2024-07-17,Transformers One,False,0,0
False,,[],1113198,en,The Last Patriot,"No plot is available at this time. Trailer in front of ""Nefarious (2023)""",0.946,,2024-07-04,The Last Patriot,False,0,0
False,,"[12, 16, 10751]",762509,en,Mufasa: The Lion King,"A prequel to Disney's 2019 film, ""The Lion King"".",15.525,/53PjxB4g3EHjrwm4npR8WTN1mwb.jpg,2024-07-03,Mufasa: The Lion King,False,0,0
False,,"[16, 10751, 35, 12]",519182,en,Despicable Me 4,The fourth installment of the Despicable Me franchise.,13.306,,2024-07-03,Despicable Me 4,False,0,0
False,,"[28, 12, 53]",575265,en,Mission: Impossible - Dead Reckoning Part Two,The eighth instalment of the Mission: Impossible franchise.,13.548,/l2fgb4JU0uLpWTaMFrxPqfQ94Kr.jpg,2024-06-26,Mission: Impossible - Dead Reckoning Part Two,False,0,0
False,,[18],1108251,id,Jangan banyak bercanda,,0.657,/1rqAudMoxsPffDwcu2c6JHk9LKC.jpg,2024-06-25,Don't joke too much,False,0,0
False,,"[28, 878]",1099759,en,Dark Fusion,"The Stellar corporation discovers a new source of power on an extraterrestrial planet and sends a soldier to recover a sample of that energy, on Earth Dr. Robert Clay, head of the investigation team, develops a suit based on that energy.",0.991,/adiNh6k3N8Qz2LtvorHrhVS3JLi.jpg,2024-06-21,Dark Fusion,False,0,0
False,,[53],992273,en,The Loch Ness Monster,"A cryptozoologist travels to Scotland to pursue the Loch Ness monster, which he has been obsessed with since seeing it as a child.",3.776,/xZB1vzbOZqaPoxi3wx2TSXeVcc6.jpg,2024-06-14,The Loch Ness Monster,False,0,0
False,,[99],946958,en,Clean Water,"This epic, sprawling documentary film follows changemakers and inspiring people living along the Ohio River valley-- across 5 states-- striving to make the area a better place.",2.119,/68uzZuliHml6WGOvbaNU3LJ2Lo0.jpg,2024-06-14,Clean Water,False,0,0
False,,"[16, 10751]",1022789,en,Inside Out 2,An all-new adventure inside Riley’s teenage head featuring a new set of emotions.,5.886,/kGc1GpuVMq2b3ypjiozong5H9h4.jpg,2024-06-12,Inside Out 2,False,0,0
False,,[53],1086747,en,The Watchers,"When Mina, a 28-year-old artist, finds shelter after getting stranded in an expansive, untouched forest in western Ireland, she unknowingly becomes trapped alongside three strangers that are watched and stalked by mysterious creatures each night.",3.835,/zbb1Gn0TobLhRDOB4M2UtACrmnB.jpg,2024-06-07,The Watchers,False,0,0
False,,[],1025513,en,Upcoming Karate Kid Film,A new ‘Karate Kid’ film that will return to the original franchise.,0.955,,2024-06-07,Upcoming Karate Kid Film,False,0,0
